Lat,Lng
53.08282, 08.81119, 
53.08281, 08.81121, 
53.08281, 08.81122, 
53.08281, 08.81123, 
53.08280, 08.81124, 
53.08279, 08.81126, 
53.08279, 08.81127, 
53.08279, 08.81127, 
53.08278, 08.81129, 
53.08277, 08.81130, 
53.08276, 08.81132, 
53.08275, 08.81134, 
53.08275, 08.81136, 
53.08274, 08.81137, 
53.08273, 08.81139, 
53.08271, 08.81141, 
53.08270, 08.81142, 
53.08268, 08.81144, 
53.08267, 08.81146, 
53.08267, 08.81147, 
53.08266, 08.81149, 
53.08265, 08.81151, 
53.08264, 08.81152, 
53.08263, 08.81154, 
53.08262, 08.81155, 
53.08262, 08.81156, 
53.08261, 08.81158, 
53.08261, 08.81159, 
53.08260, 08.81160, 
53.08259, 08.81161, 
53.08259, 08.81162, 
53.08258, 08.81162, 
53.08258, 08.81162, 
53.08257, 08.81163, 
53.08257, 08.81163, 
53.08256, 08.81164, 
53.08255, 08.81164, 
53.08254, 08.81165, 
53.08252, 08.81167, 
53.08252, 08.81168, 
53.08251, 08.81170, 
53.08250, 08.81171, 
53.08249, 08.81172, 
53.08248, 08.81174, 
53.08248, 08.81176, 
53.08247, 08.81177, 
53.08246, 08.81177, 
53.08245, 08.81178, 
53.08244, 08.81179, 
53.08244, 08.81179, 
53.08243, 08.81180, 
53.08242, 08.81181, 
53.08241, 08.81182, 
53.08240, 08.81184, 
53.08238, 08.81185, 
53.08237, 08.81186, 
53.08236, 08.81188, 
53.08236, 08.81190, 
53.08236, 08.81192, 
53.08236, 08.81194, 
53.08235, 08.81195, 
53.08235, 08.81197, 
53.08234, 08.81198, 
53.08234, 08.81198, 
53.08233, 08.81199, 
53.08233, 08.81200, 
53.08233, 08.81201, 
53.08233, 08.81202, 
53.08233, 08.81204, 
53.08234, 08.81205, 
53.08234, 08.81208, 
53.08234, 08.81210, 
53.08234, 08.81212, 
53.08234, 08.81214, 
53.08234, 08.81217, 
53.08234, 08.81219, 
53.08234, 08.81221, 
53.08234, 08.81223, 
53.08234, 08.81225, 
53.08234, 08.81227, 
53.08234, 08.81229, 
53.08233, 08.81230, 
53.08233, 08.81230, 
53.08233, 08.81231, 
53.08232, 08.81232, 
53.08232, 08.81233, 
53.08232, 08.81234, 
53.08231, 08.81234, 
53.08231, 08.81235, 
53.08231, 08.81236, 
53.08230, 08.81238, 
53.08230, 08.81239, 
53.08230, 08.81240, 
53.08230, 08.81242, 
53.08230, 08.81243, 
53.08230, 08.81244, 
53.08230, 08.81245, 
53.08229, 08.81246, 
53.08228, 08.81247, 
53.08228, 08.81248, 
53.08227, 08.81250, 
53.08227, 08.81251, 
53.08227, 08.81253, 
53.08227, 08.81254, 
53.08226, 08.81254, 
53.08226, 08.81255, 
53.08226, 08.81257, 
53.08226, 08.81258, 
53.08226, 08.81260, 
53.08225, 08.81261, 
53.08225, 08.81262, 
53.08224, 08.81263, 
53.08224, 08.81265, 
53.08224, 08.81266, 
53.08224, 08.81267, 
53.08223, 08.81268, 
53.08223, 08.81268, 
53.08223, 08.81268, 
53.08223, 08.81269, 
53.08223, 08.81269, 
53.08223, 08.81269, 
53.08223, 08.81269, 
53.08223, 08.81269, 
53.08223, 08.81269, 
53.08222, 08.81269, 
53.08222, 08.81269, 
53.08222, 08.81269, 
53.08222, 08.81269, 
53.08222, 08.81269, 
53.08222, 08.81269, 
53.08221, 08.81268, 
53.08221, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08220, 08.81269, 
53.08221, 08.81269, 
53.08221, 08.81270, 
53.08221, 08.81270, 
53.08221, 08.81270, 
53.08221, 08.81270, 
53.08221, 08.81270, 
53.08221, 08.81270, 
53.08221, 08.81271, 
53.08221, 08.81271, 
53.08221, 08.81271, 
53.08221, 08.81271, 
53.08221, 08.81270, 
53.08221, 08.81271, 
53.08221, 08.81270, 
53.08221, 08.81269, 
53.08220, 08.81268, 
53.08220, 08.81268, 
53.08220, 08.81267, 
53.08218, 08.81266, 
53.08217, 08.81266, 
53.08216, 08.81264, 
53.08215, 08.81263, 
53.08214, 08.81263, 
53.08213, 08.81262, 
